Timestamp,Date,ping,download,upload
1591237060598.412,2020-06-04 07:47:40,2418.517,2.35,0.96
1591237306307.231,2020-06-04 07:51:46,1935.422,2.29,1.16
1591237556419.2332,2020-06-04 07:55:56,1132.085,3.33,1.39
1591237851360.5608,2020-06-04 08:00:51,1150.022,1.12,0.86
1591238144130.7139,2020-06-04 08:05:44,248.379,4.42,1.29
1591238369463.959,2020-06-04 08:09:29,861.927,1.2,1.35
1591238588597.707,2020-06-04 08:13:08,820.182,2.27,1.11
1591238812695.1958,2020-06-04 08:16:52,840.65,2.39,1.18
1591238976696.037,2020-06-04 08:19:36,100,0,0
1591239153602.556,2020-06-04 08:22:33,100,0,0
1591239330506.1318,2020-06-04 08:25:30,100,0,0
1591239507357.3252,2020-06-04 08:28:27,100,0,0
1591239684234.9739,2020-06-04 08:31:24,100,0,0
1591239861128.1409,2020-06-04 08:34:21,100,0,0
1591240037960.708,2020-06-04 08:37:17,100,0,0
1591240214979.586,2020-06-04 08:40:14,100,0,0
1591240391870.885,2020-06-04 08:43:11,100,0,0
1591240568769.25,2020-06-04 08:46:08,100,0,0
1591240745618.894,2020-06-04 08:49:05,100,0,0
1591240922582.867,2020-06-04 08:52:02,100,0,0
1591241099560.4019,2020-06-04 08:54:59,100,0,0
1591241276477.7441,2020-06-04 08:57:56,100,0,0
1591241453413.7412,2020-06-04 09:00:53,100,0,0
1591241639157.903,2020-06-04 09:03:59,100,0,0
1591241815999.929,2020-06-04 09:06:55,100,0,0
1591241992967.9429,2020-06-04 09:09:52,100,0,0
1591242169898.1372,2020-06-04 09:12:49,100,0,0
1591242346771.928,2020-06-04 09:15:46,100,0,0
1591242523643.302,2020-06-04 09:18:43,100,0,0
1591242700511.635,2020-06-04 09:21:40,100,0,0
1591242877518.718,2020-06-04 09:24:37,100,0,0
1591243054402.9282,2020-06-04 09:27:34,100,0,0
1591243231263.144,2020-06-04 09:30:31,100,0,0
1591243408121.115,2020-06-04 09:33:28,100,0,0
1591251832749.815,2020-06-04 11:53:52,239.608,4.29,0.69
1591252043230.011,2020-06-04 11:57:23,663.728,3.01,1.05
1591252277327.45,2020-06-04 12:01:17,938.369,3.59,1.32
